health_region_code,year,dH,dCFR,outcome_known,hosp_known
35015,2013,-0.04481792717086841,0.170995670995671,33,34
35015,2014,0.20404411764705888,-0.04242424242424242,30,32
35015,2015,-0.01041666666666663,0.060869565217391286,23,24
35015,2016,-0.05833333333333335,-0.20823798627002288,19,20
35015,2017,0.023076923076923106,0.06736842105263158,25,26
35015,2018,0.04466501240694787,0.04666666666666666,30,31
35015,2019,-0.009408602150537626,-0.006666666666666654,25,24
35015,2020,0.04166666666666663,-0.006153846153846149,13,12
35015,2021,0.0,0.012820512820512803,12,13
35015,2022,-0.03703703703703709,0.018518518518518517,27,27
35015,2023,0.03703703703703709,0.11916264090177137,23,25
35015,2024,-0.11111111111111116,-0.045088566827697296,27,27
35015,2025,0.11111111111111116,-0.028490028490028463,13,14
35016,2008,0.023369951129860844,-0.008597190186621945,171,178
35016,2009,-0.030244728336155102,-0.043859649122807015,276,292
35016,2010,-0.005870841487279899,-0.010416666666666657,256,266
35016,2011,0.0045172219085263254,-0.033979257641921404,229,253
35016,2012,-0.013833992094861691,0.016457581341343355,173,184
35016,2013,-0.04513550399688049,0.038611577778410566,203,223
35016,2014,0.011916158613392458,-0.022501191800413156,155,178
35016,2015,0.11682182985553768,0.04516129032258065,145,175
35016,2016,-0.01752128666035946,-0.04848484848484849,132,151
35016,2017,-0.0032927596285471372,0.018419489007724305,153,179
35016,2018,0.05207204202451432,0.0010055304172951196,117,134
35016,2019,-0.045104149581761566,-0.055788655788655786,165,182
35016,2020,0.031997414350355524,0.02770562770562769,98,119
35016,2021,-0.015617567781829655,0.025563909774436094,95,106
35016,2022,0.020352456661239304,-0.05347852389594676,174,197
35016,2023,-0.02309778959525155,0.0,174,189
35016,2024,-0.013975551906586392,0.010057471264367818,128,145
35016,2025,-0.027586206896551668,0.009328358208955223,134,145
35041,2008,0.15384615384615385,-0.015551048005409074,51,52
35041,2009,0.04853479853479847,0.0431372549019608,40,42
35041,2010,-0.1278195488721804,0.045614035087719274,57,57
35041,2011,-0.0019807583474815704,-0.00832589949449894,59,62
35041,2012,-0.05513878469617406,-0.1057091882247993,38,43
35041,2013,-0.021410114433370264,-0.02248803827751196,55,63
35041,2014,0.09607351712614864,0.2438502673796792,51,57
35041,2015,0.03443794671864853,-0.0862745098039216,75,81
35041,2016,0.029706790123456783,0.0,30,32
35041,2017,0.06743421052631582,-0.016666666666666663,36,38
35041,2018,-0.04410674573758344,0.04411764705882354,68,71
35041,2019,-0.03084328757354249,-0.05954974582425565,81,79
35041,2020,-0.013019891500904213,0.06846240179573515,33,35
35041,2021,0.05714285714285716,-0.03832442067736186,34,35
35041,2022,0.011688311688311748,0.027977044476327095,41,44
35041,2023,-0.0006993006993006867,-0.042682926829268275,60,65
35041,2024,-0.15384615384615385,0.0357142857142857,42,45
35041,2025,0.13617021276595742,-0.06349206349206349,45,47
35072,2008,-0.013248542660307283,-0.07521367521367522,39,37
35072,2009,0.09371709371709369,-0.010458839406207829,76,77
35072,2010,-0.1237955592794302,0.05789473684210526,60,62
35072,2011,-0.023975588491717548,-0.03888888888888889,135,111
35072,2012,-0.04054054054054057,-0.05734767025089605,93,98
35072,2013,0.06043956043956045,0.024014336917562724,90,91
35072,2014,-0.03771228771228774,-0.02342995169082126,92,88
35072,2015,-0.06818181818181818,0.04089026915113871,42,44
35072,2016,0.2545454545454546,-0.023809523809523808,56,55
35072,2017,-0.00909090909090915,-0.045787545787545784,39,40
35072,2018,0.12608695652173918,0.1561771561771562,22,23
35072,2019,-0.14961636828644498,-0.025568181818181823,32,34
35072,2020,0.2058823529411764,0.02022058823529413,17,17
35072,2021,-0.11312217194570129,-0.0995475113122172,13,13
35072,2022,0.1923076923076923,0.0030769230769230743,25,26
35072,2023,-0.13545150501672243,0.18086956521739128,23,23
35072,2024,-0.08695652173913049,-0.08695652173913043,23,23
35072,2025,0.09420289855072472,-0.06280193236714976,18,18
35103,2010,-0.20496894409937888,0.0,21,21
35103,2011,0.023809523809523808,0.0,12,12
35103,2012,0.27083333333333337,0.0,16,16
35103,2013,-0.1375,0.05,20,20
35103,2014,0.2625,0.09285714285714285,14,16
35103,2015,-0.16249999999999998,-0.14285714285714285,14,15
35103,2016,0.04999999999999999,0.0,20,20
35121,2010,-0.03678929765886285,0.11036789297658864,13,13
35121,2011,0.1493212669683257,0.022624434389140274,17,17
35121,2012,0.0,0.0,17,17
35121,2013,-0.29102167182662536,0.0,17,19
35121,2014,-0.10526315789473684,-0.009803921568627472,18,19
35121,2015,0.4777327935222672,-0.16666666666666666,13,13
35121,2016,-0.23504273504273498,0.16666666666666666,18,18
35163,2008,-0.04545454545454547,0.05555555555555555,18,22
35163,2009,0.22545454545454552,0.021367521367521375,26,25
35163,2010,0.019999999999999907,0.026525198938992037,29,30
35163,2011,0.12758620689655176,0.10344827586206896,29,29
35163,2012,-0.2859195402298851,-0.03298350824587706,23,24
35163,2013,0.08333333333333337,-0.0713489409141583,39,40
35163,2014,-0.0492424242424242,0.02243589743589744,32,33
35163,2015,0.18181818181818177,0.09375,32,33
35163,2016,0.1281385281385281,-0.1278409090909091,33,35
35163,2017,-0.07802197802197797,0.03409090909090909,24,26
35163,2018,0.05897435897435899,0.1163793103448276,29,30
35163,2019,-0.1393939393939394,-0.09852216748768475,21,22
35163,2020,0.2727272727272727,-0.07142857142857142,14,15
35163,2023,0.20508166969147001,0.15294117647058825,17,19
35163,2024,-0.15560640732265452,-0.2165775401069519,22,23
35163,2025,0.13043478260869568,0.030303030303030304,24,23
35171,2008,-0.04824561403508765,0.08333333333333333,12,12
35171,2009,0.21666666666666667,0.14743589743589747,13,15
35171,2010,-0.15714285714285714,-0.15934065934065936,14,14
35171,2011,0.0071428571428571175,0.07142857142857142,21,20
35171,2012,0.0537037037037037,-0.09523809523809523,21,27
35171,2013,-0.20370370370370372,0.06776556776556777,26,28
35171,2014,0.1842105263157895,0.015050167224080258,23,19
35171,2015,0.03007518796992481,-0.03952569169960474,22,21
35171,2018,-0.06666666666666665,0.09134615384615385,13,15
